Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-01-01,2024-01-05,110,italyan ceviz,madra,1.0,,,1.0
2024-01-01,2024-01-05,120,italyan ceviz,baklava,,,,
2024-01-01,2024-01-05,130,italyan ceviz,karışık çizgi,4.0,,,1.0
2024-01-01,2024-01-05,160,italyan ceviz,iki göbek,47.0,5.0,12.0,
2024-01-01,2024-01-05,200,koyu ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,220,koyu ceviz,baklava,,,,
2024-01-01,2024-01-05,230,koyu ceviz,karışık çizgi,10.0,,4.0,
2024-01-01,2024-01-05,260,koyu ceviz,iki göbek,2.0,,,
2024-01-01,2024-01-05,300,gold ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,310,gold ceviz,madra,,,,
2024-01-01,2024-01-05,320,gold ceviz,baklava,1.0,,,
2024-01-01,2024-01-05,330,gold ceviz,karışık çizgi,9.0,1.0,1.0,
2024-01-01,2024-01-05,360,gold ceviz,iki göbek,,,,
2024-01-01,2024-01-05,400,ABD ceviz,yavru kanat,,,,
2024-01-01,2024-01-05,410,ABD ceviz,madra,,,,
2024-01-01,2024-01-05,420,ABD ceviz,baklava,,,,
2024-01-01,2024-01-05,430,ABD ceviz,karışık çizgi,,,,
2024-01-01,2024-01-05,460,ABD ceviz,iki göbek,8.0,,,
2024-01-01,2024-01-05,500,wenge,yavru kanat,,,,
2024-01-01,2024-01-05,520,wenge,baklava,9.0,1.0,3.0,
2024-01-01,2024-01-05,530,wenge,karışık çizgi,3.0,1.0,2.0,
2024-01-01,2024-01-05,560,wenge,iki göbek,8.0,,1.0,
2024-01-01,2024-01-05,600,bute beyaz,yavru kanat,,,,
2024-01-01,2024-01-05,610,bute beyaz,madra,5.0,,,
2024-01-01,2024-01-05,620,bute beyaz,baklava,,,1.0,
2024-01-01,2024-01-05,630,bute beyaz,karışık çizgi,20.0,1.0,5.0,
2024-01-01,2024-01-05,640,,,1.0,,,
2024-01-01,2024-01-05,660,bute beyaz,iki göbek,88.0,6.0,24.0,7.0
2024-01-01,2024-01-05,700,küp akça,yavru kanat,,,,
2024-01-01,2024-01-05,720,küp akça,baklava,3.0,,,
2024-01-01,2024-01-05,730,küp akça,karışık çizgi,21.0,,2.0,2.0
2024-01-01,2024-01-05,760,küp akça,iki göbek,15.0,4.0,3.0,1.0
2024-01-01,2024-01-05,800,ardahan gri,yavru kanat,,,,
2024-01-01,2024-01-05,810,ardahan gri,madra,20.0,,2.0,
2024-01-01,2024-01-05,820,ardahan gri,baklava,,,,
2024-01-01,2024-01-05,830,ardahan gri,karışık çizgi,,1.0,3.0,
2024-01-01,2024-01-05,840,,,1.0,,,
2024-01-01,2024-01-05,860,ardahan gri,iki göbek,14.0,,3.0,3.0
2024-01-01,2024-01-05,900,pvc gri,yavru kanat,,,,
2024-01-01,2024-01-05,920,pvc gri,baklava,,,,
2024-01-01,2024-01-05,930,pvc gri,karışık çizgi,8.0,,,2.0
2024-01-01,2024-01-05,960,pvc gri,iki göbek,1.0,1.0,2.0,2.0
2024-01-05,2024-01-12,100,italyan ceviz,yavru kanat,,,,
2024-01-05,2024-01-12,110,italyan ceviz,madra,20.0,1.0,5.0,
2024-01-05,2024-01-12,120,italyan ceviz,baklava,38.0,1.0,7.0,2.0
2024-01-05,2024-01-12,130,italyan ceviz,karışık çizgi,8.0,,2.0,
2024-01-05,2024-01-12,140,,,2.0,,,
2024-01-05,2024-01-12,160,italyan ceviz,iki göbek,40.0,3.0,7.0,1.0
2024-01-05,2024-01-12,200,koyu ceviz,yavru kanat,,,,
2024-01-05,2024-01-12,220,koyu ceviz,baklava,11.0,,3.0,
2024-01-05,2024-01-12,230,koyu ceviz,karışık çizgi,27.0,,4.0,6.0
2024-01-05,2024-01-12,240,,,3.0,,,
2024-01-05,2024-01-12,260,koyu ceviz,iki göbek,17.0,,,
2024-01-05,2024-01-12,300,gold ceviz,yavru kanat,,,,
2024-01-05,2024-01-12,310,gold ceviz,madra,3.0,3.0,1.0,1.0
2024-01-05,2024-01-12,320,gold ceviz,baklava,5.0,,,
2024-01-05,2024-01-12,330,gold ceviz,karışık çizgi,8.0,1.0,1.0,
2024-01-05,2024-01-12,340,,,6.0,,,
2024-01-05,2024-01-12,360,gold ceviz,iki göbek,44.0,,,1.0
2024-01-05,2024-01-12,400,ABD ceviz,yavru kanat,,,,
2024-01-05,2024-01-12,410,ABD ceviz,madra,1.0,,,
2024-01-05,2024-01-12,420,ABD ceviz,baklava,9.0,1.0,1.0,
2024-01-05,2024-01-12,430,ABD ceviz,karışık çizgi,11.0,,5.0,2.0
2024-01-05,2024-01-12,460,ABD ceviz,iki göbek,10.0,1.0,,
2024-01-05,2024-01-12,500,wenge,yavru kanat,,,,
2024-01-05,2024-01-12,520,wenge,baklava,11.0,2.0,2.0,
2024-01-05,2024-01-12,530,wenge,karışık çizgi,12.0,,6.0,
2024-01-05,2024-01-12,540,,,2.0,,,
2024-01-05,2024-01-12,560,wenge,iki göbek,17.0,,5.0,1.0
2024-01-05,2024-01-12,600,bute beyaz,yavru kanat,,,,
2024-01-05,2024-01-12,610,bute beyaz,madra,14.0,,,
2024-01-05,2024-01-12,620,bute beyaz,baklava,11.0,,3.0,
2024-01-05,2024-01-12,630,bute beyaz,karışık çizgi,63.0,3.0,16.0,6.0
2024-01-05,2024-01-12,640,,,2.0,,,
2024-01-05,2024-01-12,660,bute beyaz,iki göbek,170.0,7.0,42.0,26.0
2024-01-05,2024-01-12,700,küp akça,yavru kanat,,,,
2024-01-05,2024-01-12,720,küp akça,baklava,20.0,,4.0,2.0
2024-01-05,2024-01-12,730,küp akça,karışık çizgi,12.0,,6.0,3.0
2024-01-05,2024-01-12,740,,,2.0,,,
2024-01-05,2024-01-12,760,küp akça,iki göbek,92.0,6.0,15.0,10.0
2024-01-05,2024-01-12,800,ardahan gri,yavru kanat,,,,
2024-01-05,2024-01-12,810,ardahan gri,madra,11.0,,,2.0
2024-01-05,2024-01-12,820,ardahan gri,baklava,8.0,3.0,,3.0
2024-01-05,2024-01-12,830,ardahan gri,karışık çizgi,,,,
2024-01-05,2024-01-12,840,,,2.0,,,
2024-01-05,2024-01-12,860,ardahan gri,iki göbek,102.0,6.0,33.0,7.0
2024-01-05,2024-01-12,900,pvc gri,yavru kanat,,,,
2024-01-05,2024-01-12,920,pvc gri,baklava,37.0,,8.0,
2024-01-05,2024-01-12,930,pvc gri,karışık çizgi,7.0,,,
2024-01-05,2024-01-12,960,pvc gri,iki göbek,1.0,1.0,,1.0
2024-01-19,2024-01-26,100,italyan ceviz,yavru kanat,,,,
2024-01-19,2024-01-26,110,italyan ceviz,madra,97.0,8.0,9.0,15.0
2024-01-19,2024-01-26,120,italyan ceviz,baklava,14.0,,5.0,1.0
2024-01-19,2024-01-26,130,italyan ceviz,karışık çizgi,16.0,,11.0,
2024-01-19,2024-01-26,140,,,,,1.0,
2024-01-19,2024-01-26,160,italyan ceviz,iki göbek,86.0,3.0,6.0,18.0
2024-01-19,2024-01-26,200,koyu ceviz,yavru kanat,,,,
2024-01-19,2024-01-26,220,koyu ceviz,baklava,5.0,,,
2024-01-19,2024-01-26,230,koyu ceviz,karışık çizgi,21.0,1.0,15.0,
2024-01-19,2024-01-26,240,,,4.0,,,
2024-01-19,2024-01-26,260,koyu ceviz,iki göbek,48.0,1.0,14.0,6.0
2024-01-19,2024-01-26,300,gold ceviz,yavru kanat,,,,
2024-01-19,2024-01-26,310,gold ceviz,madra,12.0,1.0,12.0,2.0
2024-01-19,2024-01-26,320,gold ceviz,baklava,10.0,,,
2024-01-19,2024-01-26,330,gold ceviz,karışık çizgi,11.0,,2.0,2.0
2024-01-19,2024-01-26,340,,,15.0,,3.0,
2024-01-19,2024-01-26,360,gold ceviz,iki göbek,25.0,,4.0,7.0
2024-01-19,2024-01-26,400,ABD ceviz,yavru kanat,,,,
2024-01-19,2024-01-26,410,ABD ceviz,madra,1.0,,,
2024-01-19,2024-01-26,420,ABD ceviz,baklava,30.0,,,1.0
2024-01-19,2024-01-26,430,ABD ceviz,karışık çizgi,10.0,,1.0,
2024-01-19,2024-01-26,460,ABD ceviz,iki göbek,38.0,2.0,8.0,2.0
2024-01-19,2024-01-26,500,wenge,yavru kanat,,,,
2024-01-19,2024-01-26,520,wenge,baklava,11.0,,3.0,
2024-01-19,2024-01-26,530,wenge,karışık çizgi,4.0,,,
2024-01-19,2024-01-26,540,,,,,,
2024-01-19,2024-01-26,560,wenge,iki göbek,17.0,,2.0,
2024-01-19,2024-01-26,600,bute beyaz,yavru kanat,,,,
2024-01-19,2024-01-26,610,bute beyaz,madra,17.0,,10.0,
2024-01-19,2024-01-26,620,bute beyaz,baklava,19.0,,9.0,1.0
2024-01-19,2024-01-26,630,bute beyaz,karışık çizgi,79.0,5.0,27.0,6.0
2024-01-19,2024-01-26,640,,,8.0,,6.0,
2024-01-19,2024-01-26,660,bute beyaz,iki göbek,354.0,33.0,115.0,76.0
2024-01-19,2024-01-26,700,küp akça,yavru kanat,,,,
2024-01-19,2024-01-26,720,küp akça,baklava,26.0,,6.0,1.0
2024-01-19,2024-01-26,730,küp akça,karışık çizgi,58.0,1.0,20.0,3.0
2024-01-19,2024-01-26,740,,,8.0,,,1.0
2024-01-19,2024-01-26,760,küp akça,iki göbek,116.0,16.0,29.0,21.0
2024-01-19,2024-01-26,800,ardahan gri,yavru kanat,,,,
2024-01-19,2024-01-26,810,ardahan gri,madra,38.0,1.0,9.0,3.0
2024-01-19,2024-01-26,820,ardahan gri,baklava,,,2.0,
2024-01-19,2024-01-26,830,ardahan gri,karışık çizgi,86.0,5.0,11.0,3.0
2024-01-19,2024-01-26,840,,,4.0,1.0,5.0,3.0
2024-01-19,2024-01-26,860,ardahan gri,iki göbek,142.0,5.0,36.0,9.0
2024-01-19,2024-01-26,900,pvc gri,yavru kanat,,,,
2024-01-19,2024-01-26,920,pvc gri,baklava,30.0,,1.0,3.0
2024-01-19,2024-01-26,930,pvc gri,karışık çizgi,66.0,8.0,6.0,
2024-01-19,2024-01-26,960,pvc gri,iki göbek,,1.0,5.0,5.0
2024-01-26,2024-02-02,100,italyan ceviz,yavru kanat,,,,
2024-01-26,2024-02-02,110,italyan ceviz,madra,44.0,,9.0,4.0
2024-01-26,2024-02-02,120,italyan ceviz,baklava,,,,
2024-01-26,2024-02-02,130,italyan ceviz,karışık çizgi,6.0,,2.0,
2024-01-26,2024-02-02,140,,,5.0,,,
2024-01-26,2024-02-02,160,italyan ceviz,iki göbek,,,,
2024-01-26,2024-02-02,200,koyu ceviz,yavru kanat,,,,
2024-01-26,2024-02-02,220,koyu ceviz,baklava,6.0,,1.0,4.0
2024-01-26,2024-02-02,230,koyu ceviz,karışık çizgi,,,,
2024-01-26,2024-02-02,240,,,,,,
2024-01-26,2024-02-02,260,koyu ceviz,iki göbek,31.0,1.0,,
2024-01-26,2024-02-02,300,gold ceviz,yavru kanat,,,,
2024-01-26,2024-02-02,310,gold ceviz,madra,3.0,1.0,5.0,
2024-01-26,2024-02-02,320,gold ceviz,baklava,4.0,,,
2024-01-26,2024-02-02,330,gold ceviz,karışık çizgi,,,,
2024-01-26,2024-02-02,340,,,,,,
2024-01-26,2024-02-02,360,gold ceviz,iki göbek,21.0,,,1.0
2024-01-26,2024-02-02,400,ABD ceviz,yavru kanat,,,,
2024-01-26,2024-02-02,410,ABD ceviz,madra,,,,
2024-01-26,2024-02-02,420,ABD ceviz,baklava,,,,
2024-01-26,2024-02-02,430,ABD ceviz,karışık çizgi,,,,
2024-01-26,2024-02-02,460,ABD ceviz,iki göbek,12.0,,2.0,
2024-01-26,2024-02-02,500,wenge,yavru kanat,,,,
2024-01-26,2024-02-02,520,wenge,baklava,,,1.0,
2024-01-26,2024-02-02,530,wenge,karışık çizgi,16.0,1.0,1.0,
2024-01-26,2024-02-02,540,,,,,,
2024-01-26,2024-02-02,560,wenge,iki göbek,,1.0,,
2024-01-26,2024-02-02,600,bute beyaz,yavru kanat,,,,
2024-01-26,2024-02-02,610,bute beyaz,madra,4.0,,5.0,
2024-01-26,2024-02-02,620,bute beyaz,baklava,2.0,1.0,2.0,1.0
2024-01-26,2024-02-02,630,bute beyaz,karışık çizgi,46.0,6.0,18.0,2.0
2024-01-26,2024-02-02,640,,,,,,
2024-01-26,2024-02-02,660,bute beyaz,iki göbek,58.0,6.0,23.0,21.0
2024-01-26,2024-02-02,700,küp akça,yavru kanat,,,,
2024-01-26,2024-02-02,720,küp akça,baklava,3.0,,5.0,
2024-01-26,2024-02-02,730,küp akça,karışık çizgi,49.0,,14.0,4.0
2024-01-26,2024-02-02,740,,,,,,
2024-01-26,2024-02-02,760,küp akça,iki göbek,3.0,,5.0,3.0
2024-01-26,2024-02-02,800,ardahan gri,yavru kanat,,,,
2024-01-26,2024-02-02,810,ardahan gri,madra,15.0,,7.0,
2024-01-26,2024-02-02,820,ardahan gri,baklava,,1.0,,
2024-01-26,2024-02-02,830,ardahan gri,karışık çizgi,23.0,1.0,2.0,9.0
2024-01-26,2024-02-02,840,,,,,,
2024-01-26,2024-02-02,860,ardahan gri,iki göbek,2.0,,1.0,3.0
2024-01-26,2024-02-02,900,pvc gri,yavru kanat,,,,
2024-01-26,2024-02-02,920,pvc gri,baklava,,,,
2024-01-26,2024-02-02,930,pvc gri,karışık çizgi,17.0,1.0,9.0,5.0
2024-01-26,2024-02-02,960,pvc gri,iki göbek,,,,
2024-02-02,2024-02-09,100,italyan ceviz,yavru kanat,,,,
2024-02-02,2024-02-09,110,italyan ceviz,madra,16.0,1.0,3.0,
2024-02-02,2024-02-09,120,italyan ceviz,baklava,,,2.0,1.0
2024-02-02,2024-02-09,130,italyan ceviz,karışık çizgi,26.0,,7.0,4.0
2024-02-02,2024-02-09,140,,,1.0,,,
2024-02-02,2024-02-09,160,italyan ceviz,iki göbek,,,,
2024-02-02,2024-02-09,200,koyu ceviz,yavru kanat,,,,
2024-02-02,2024-02-09,220,koyu ceviz,baklava,9.0,1.0,2.0,
2024-02-02,2024-02-09,230,koyu ceviz,karışık çizgi,,,,
2024-02-02,2024-02-09,240,,,3.0,,,
2024-02-02,2024-02-09,260,koyu ceviz,iki göbek,6.0,,1.0,
2024-02-02,2024-02-09,300,gold ceviz,yavru kanat,,,,
2024-02-02,2024-02-09,310,gold ceviz,madra,,,1.0,1.0
2024-02-02,2024-02-09,320,gold ceviz,baklava,,,,
2024-02-02,2024-02-09,330,gold ceviz,karışık çizgi,,,,
2024-02-02,2024-02-09,340,,,,,,
2024-02-02,2024-02-09,360,gold ceviz,iki göbek,8.0,,,6.0
2024-02-02,2024-02-09,400,ABD ceviz,yavru kanat,,,,
2024-02-02,2024-02-09,410,ABD ceviz,madra,,,,
2024-02-02,2024-02-09,420,ABD ceviz,baklava,,,,
2024-02-02,2024-02-09,430,ABD ceviz,karışık çizgi,6.0,,2.0,
2024-02-02,2024-02-09,440,,,3.0,,,
2024-02-02,2024-02-09,460,ABD ceviz,iki göbek,4.0,1.0,,
2024-02-02,2024-02-09,500,wenge,yavru kanat,,,,
2024-02-02,2024-02-09,520,wenge,baklava,,,,
2024-02-02,2024-02-09,530,wenge,karışık çizgi,3.0,,,
2024-02-02,2024-02-09,540,,,,,,
2024-02-02,2024-02-09,560,wenge,iki göbek,7.0,,2.0,
2024-02-02,2024-02-09,600,bute beyaz,yavru kanat,,,,
2024-02-02,2024-02-09,610,bute beyaz,madra,2.0,,2.0,
2024-02-02,2024-02-09,620,bute beyaz,baklava,3.0,,,
2024-02-02,2024-02-09,630,bute beyaz,karışık çizgi,19.0,6.0,2.0,3.0
2024-02-02,2024-02-09,640,,,,,,
2024-02-02,2024-02-09,660,bute beyaz,iki göbek,85.0,7.0,21.0,23.0
2024-02-02,2024-02-09,700,küp akça,yavru kanat,,,,
2024-02-02,2024-02-09,720,küp akça,baklava,7.0,,3.0,
2024-02-02,2024-02-09,730,küp akça,karışık çizgi,67.0,,40.0,6.0
2024-02-02,2024-02-09,740,,,10.0,,4.0,
2024-02-02,2024-02-09,760,küp akça,iki göbek,,1.0,,
2024-02-02,2024-02-09,800,ardahan gri,yavru kanat,,,,
2024-02-02,2024-02-09,810,ardahan gri,madra,6.0,,5.0,
2024-02-02,2024-02-09,820,ardahan gri,baklava,,,,
2024-02-02,2024-02-09,830,ardahan gri,karışık çizgi,37.0,1.0,11.0,1.0
2024-02-02,2024-02-09,840,,,9.0,,,
2024-02-02,2024-02-09,860,ardahan gri,iki göbek,1.0,,4.0,
2024-02-02,2024-02-09,900,pvc gri,yavru kanat,,,,
2024-02-02,2024-02-09,920,pvc gri,baklava,,,3.0,
2024-02-02,2024-02-09,930,pvc gri,karışık çizgi,5.0,,5.0,
2024-02-02,2024-02-09,960,pvc gri,iki göbek,23.0,2.0,2.0,1.0
2024-02-09,2024-02-16,100,italyan ceviz,yavru kanat,,,,
2024-02-09,2024-02-16,110,italyan ceviz,madra,3.0,,,
2024-02-09,2024-02-16,120,italyan ceviz,baklava,,,,
2024-02-09,2024-02-16,130,italyan ceviz,karışık çizgi,29.0,1.0,8.0,6.0
2024-02-09,2024-02-16,140,,,,,,
2024-02-09,2024-02-16,160,italyan ceviz,iki göbek,,1.0,,
2024-02-09,2024-02-16,200,koyu ceviz,yavru kanat,,,,
2024-02-09,2024-02-16,220,koyu ceviz,baklava,,,,
2024-02-09,2024-02-16,230,koyu ceviz,karışık çizgi,,,,
2024-02-09,2024-02-16,240,,,5.0,,,2.0
2024-02-09,2024-02-16,260,koyu ceviz,iki göbek,19.0,1.0,8.0,
2024-02-09,2024-02-16,300,gold ceviz,yavru kanat,,,,
2024-02-09,2024-02-16,310,gold ceviz,madra,6.0,1.0,2.0,1.0
2024-02-09,2024-02-16,320,gold ceviz,baklava,17.0,,,
2024-02-09,2024-02-16,330,gold ceviz,karışık çizgi,6.0,,4.0,
2024-02-09,2024-02-16,340,,,,,,
2024-02-09,2024-02-16,360,gold ceviz,iki göbek,19.0,,10.0,5.0
2024-02-09,2024-02-16,400,ABD ceviz,yavru kanat,,,,
2024-02-09,2024-02-16,410,ABD ceviz,madra,12.0,,9.0,
2024-02-09,2024-02-16,420,ABD ceviz,baklava,,,,
2024-02-09,2024-02-16,430,ABD ceviz,karışık çizgi,8.0,,,1.0
2024-02-09,2024-02-16,460,ABD ceviz,iki göbek,5.0,,2.0,
2024-02-09,2024-02-16,500,wenge,yavru kanat,,,,
2024-02-09,2024-02-16,520,wenge,baklava,,,,
2024-02-09,2024-02-16,530,wenge,karışık çizgi,,,,
2024-02-09,2024-02-16,540,,,,,,
2024-02-09,2024-02-16,560,wenge,iki göbek,9.0,,,
2024-02-09,2024-02-16,600,bute beyaz,yavru kanat,,,,
2024-02-09,2024-02-16,610,bute beyaz,madra,15.0,,5.0,
2024-02-09,2024-02-16,620,bute beyaz,baklava,4.0,,1.0,
2024-02-09,2024-02-16,630,bute beyaz,karışık çizgi,45.0,2.0,17.0,6.0
2024-02-09,2024-02-16,640,,,,,,
2024-02-09,2024-02-16,660,bute beyaz,iki göbek,141.0,14.0,22.0,21.0
2024-02-09,2024-02-16,700,küp akça,yavru kanat,,,,
2024-02-09,2024-02-16,720,küp akça,baklava,16.0,,11.0,
2024-02-09,2024-02-16,730,küp akça,karışık çizgi,33.0,1.0,14.0,
2024-02-09,2024-02-16,740,,,,,,
2024-02-09,2024-02-16,760,küp akça,iki göbek,,1.0,2.0,
2024-02-09,2024-02-16,800,ardahan gri,yavru kanat,,,,
2024-02-09,2024-02-16,810,ardahan gri,madra,8.0,,,1.0
2024-02-09,2024-02-16,820,ardahan gri,baklava,,,,
2024-02-09,2024-02-16,830,ardahan gri,karışık çizgi,,,3.0,
2024-02-09,2024-02-16,840,,,,,,
2024-02-09,2024-02-16,860,ardahan gri,iki göbek,,1.0,,2.0
2024-02-09,2024-02-16,900,pvc gri,yavru kanat,,,,
2024-02-09,2024-02-16,920,pvc gri,baklava,,,,
2024-02-09,2024-02-16,930,pvc gri,karışık çizgi,,,5.0,1.0
2024-02-09,2024-02-16,960,pvc gri,iki göbek,51.0,1.0,4.0,9.0
2024-02-16,2024-02-23,100,italyan ceviz,yavru kanat,,,,
2024-02-16,2024-02-23,110,italyan ceviz,madra,,,,
2024-02-16,2024-02-23,120,italyan ceviz,baklava,1.0,,,
2024-02-16,2024-02-23,130,italyan ceviz,karışık çizgi,11.0,,,1.0
2024-02-16,2024-02-23,140,,,2.0,,,
2024-02-16,2024-02-23,160,italyan ceviz,iki göbek,10.0,1.0,3.0,2.0
2024-02-16,2024-02-23,200,koyu ceviz,yavru kanat,,,,
2024-02-16,2024-02-23,220,koyu ceviz,baklava,3.0,,,
2024-02-16,2024-02-23,230,koyu ceviz,karışık çizgi,,,,
2024-02-16,2024-02-23,240,,,4.0,,,
2024-02-16,2024-02-23,260,koyu ceviz,iki göbek,6.0,2.0,2.0,4.0
2024-02-16,2024-02-23,300,gold ceviz,yavru kanat,,,,
2024-02-16,2024-02-23,310,gold ceviz,madra,1.0,,,
2024-02-16,2024-02-23,320,gold ceviz,baklava,,,,
2024-02-16,2024-02-23,330,gold ceviz,karışık çizgi,,,,
2024-02-16,2024-02-23,340,,,,,,
2024-02-16,2024-02-23,360,gold ceviz,iki göbek,14.0,,10.0,
2024-02-16,2024-02-23,400,ABD ceviz,yavru kanat,,,,
2024-02-16,2024-02-23,410,ABD ceviz,madra,,,,
2024-02-16,2024-02-23,420,ABD ceviz,baklava,,,,
2024-02-16,2024-02-23,430,ABD ceviz,karışık çizgi,,,,
2024-02-16,2024-02-23,440,,,,,,
